Transaction ID,Date,Product Name,Category,Quantity Sold,Price,Customer Age,Customer Gender,Location,Season
T0040,2024-03-15,Coffee,Beverages,3,19.29,41,Female,"San Antonio, TX",Spring
T0041,2024-11-05,Yogurt,Dairy,1,15.29,19,Female,"San Antonio, TX",Fall
T0042,2024-08-25,Croissant,Bakery,5,10.12,51,Male,"New York, NY",Summer
T0043,2024-09-09,Carrots,Produce,4,7.02,18,Male,"New York, NY",Fall
T0044,2024-03-24,Pork Chops,Meat,10,4.86,51,Female,"Dallas, TX",Spring
T0045,2024-01-12,Orange Juice,Beverages,6,2.78,28,Female,"Dallas, TX",Winter
T0046,2024-05-27,Carrots,Produce,4,12.92,33,Male,"Chicago, IL",Spring
T0047,2024-05-04,Soda,Beverages,2,19.32,50,Male,"Phoenix, AZ",Spring
T0048,2024-05-28,Pork Chops,Meat,9,17.98,42,Female,"San Antonio, TX",Spring
T0049,2024-10-08,Soda,Beverages,7,6.05,38,Female,"New York, NY",Fall
T0050,2024-04-13,Apples,Produce,2,9.72,19,Male,"Phoenix, AZ",Spring
T0051,2024-11-26,Croissant,Bakery,2,12.45,38,Male,"New York, NY",Fall
T0052,2024-11-25,Carrots,Produce,10,9.27,33,Female,"San Diego, CA",Fall
T0053,2024-02-20,Whole Milk,Dairy,8,6.08,44,Female,"Chicago, IL",Winter
T0054,2024-02-12,Apples,Produce,5,12.01,64,Male,"San Antonio, TX",Winter
T0055,2024-01-18,Pork Chops,Meat,6,2.41,55,Female,"Chicago, IL",Winter
T0056,2024-04-22,Bananas,Produce,4,15.07,19,Male,"San Diego, CA",Spring
T0057,2024-10-09,Pumpkin Pie,Bakery,6,3.5,52,Male,"San Diego, CA",Fall
T0058,2024-11-12,Cheddar Cheese,Dairy,7,6.97,34,Male,"Phoenix, AZ",Fall
T0059,2024-07-01,Ice Cream,Frozen,4,18.92,35,Male,"Philadelphia, PA",Summer
T0060,2024-02-23,Coffee,Beverages,1,9.6,66,Male,"Houston, TX",Winter
T0061,2024-12-15,Ice Cream,Frozen,10,13.73,27,Female,"Phoenix, AZ",Winter
T0062,2024-06-05,Orange Juice,Beverages,7,4.04,37,Male,"New York, NY",Summer
T0063,2024-09-02,Yogurt,Dairy,2,18.4,67,Male,"Los Angeles, CA",Fall
T0064,2024-03-04,Chicken Breast,Meat,9,7.43,57,Female,"Phoenix, AZ",Spring
T0065,2024-12-17,Pork Chops,Meat,5,9.46,27,Male,"Houston, TX",Winter
T0066,2024-06-27,Bananas,Produce,9,11.94,66,Female,"Houston, TX",Summer
T0067,2024-06-23,Croissant,Bakery,1,9.89,39,Female,"Philadelphia, PA",Summer
T0068,2024-04-13,Orange Juice,Beverages,7,2.54,36,Male,"San Antonio, TX",Spring
T0069,2024-04-18,Coffee,Beverages,2,15.19,52,Male,"Chicago, IL",Spring
T0070,2024-05-12,Pumpkin Pie,Bakery,8,8.17,20,Female,"New York, NY",Spring
T0071,2024-11-03,Coffee,Beverages,3,3.92,53,Female,"Dallas, TX",Fall
T0072,2024-04-20,Ground Beef,Meat,9,12.27,38,Male,"Chicago, IL",Spring
T0073,2024-03-17,Chicken Breast,Meat,6,11.29,55,Female,"Los Angeles, CA",Spring
T0074,2024-07-14,Ice Cream,Frozen,9,12.91,70,Female,"Houston, TX",Summer
T0075,2024-10-10,Pumpkin Pie,Bakery,3,13.66,31,Male,"Los Angeles, CA",Fall
T0076,2024-10-25,Bananas,Produce,8,19.64,43,Female,"Dallas, TX",Fall
T0077,2024-04-18,Chicken Breast,Meat,1,7.12,70,Female,"Phoenix, AZ",Spring
T0078,2024-01-15,Whole Milk,Dairy,7,14.59,18,Male,"Chicago, IL",Winter
T0079,2024-09-28,Pumpkin Pie,Bakery,10,12.8,59,Male,"Houston, TX",Fall
T0080,2024-04-12,Whole Wheat Bread,Bakery,3,3.04,70,Female,"Los Angeles, CA",Spring
T0081,2024-02-01,Whole Wheat Bread,Bakery,5,5.59,62,Female,"Dallas, TX",Winter
T0082,2024-12-09,Whole Wheat Bread,Bakery,7,0.86,28,Female,"San Jose, CA",Winter
T0083,2024-06-26,Ground Beef,Meat,2,2.72,39,Female,"New York, NY",Summer
T0084,2024-01-04,Chicken Breast,Meat,5,4.68,41,Female,"Philadelphia, PA",Winter
T0085,2024-02-13,Pork Chops,Meat,3,8.61,20,Female,"San Antonio, TX",Winter
T0086,2024-02-22,Yogurt,Dairy,1,2.07,33,Male,"Philadelphia, PA",Winter
T0087,2024-07-26,Pumpkin Pie,Bakery,6,6.24,19,Male,"Phoenix, AZ",Summer
T0088,2024-07-12,Bananas,Produce,5,9.9,25,Male,"New York, NY",Summer
T0089,2024-05-14,Ground Beef,Meat,8,13.31,69,Female,"Dallas, TX",Spring
T0090,2024-07-15,Soda,Beverages,1,15.99,43,Male,"San Jose, CA",Summer
T0091,2024-03-21,Pork Chops,Meat,6,0.64,49,Female,"Philadelphia, PA",Spring
T0092,2024-08-10,Frozen Peas,Frozen,7,10.81,49,Female,"Houston, TX",Summer
T0093,2024-11-04,Pork Chops,Meat,10,2.25,55,Male,"San Diego, CA",Fall
T0094,2024-12-04,Croissant,Bakery,8,16.7,65,Male,"New York, NY",Winter
T0095,2024-04-08,Pumpkin Pie,Bakery,10,0.74,22,Male,"New York, NY",Spring
T0096,2024-07-09,Coffee,Beverages,4,1.62,23,Male,"San Diego, CA",Summer
T0097,2024-09-20,Chicken Breast,Meat,5,4.71,26,Male,"Chicago, IL",Fall
T0098,2024-04-24,Pumpkin Pie,Bakery,6,17.9,49,Female,"San Antonio, TX",Spring
T0099,2024-10-23,Pork Chops,Meat,5,10.38,66,Male,"New York, NY",Fall
T0100,2024-11-21,Cheddar Cheese,Dairy,6,15.04,31,Female,"San Jose, CA",Fall
T0101,2024-03-23,Frozen Pizza,Frozen,3,10.51,30,Female,"San Diego, CA",Spring
T0102,2024-07-27,Bananas,Produce,7,17.91,42,Female,"Chicago, IL",Summer
T0103,2024-06-05,Bananas,Produce,8,14.88,54,Female,"San Jose, CA",Summer
T0104,2024-01-24,Frozen Pizza,Frozen,1,14.83,69,Male,"Philadelphia, PA",Winter
T0105,2024-02-06,Yogurt,Dairy,5,8.93,58,Female,"San Diego, CA",Winter
T0106,2024-02-04,Frozen Peas,Frozen,3,17.31,26,Female,"Chicago, IL",Winter
T0107,2024-08-07,Whole Milk,Dairy,9,11.9,20,Female,"Houston, TX",Summer
T0108,2024-11-22,Yogurt,Dairy,8,9.37,51,Female,"New York, NY",Fall
T0109,2024-07-03,Cheddar Cheese,Dairy,4,6.44,30,Male,"San Jose, CA",Summer
T0110,2024-05-24,Carrots,Produce,10,5.37,30,Male,"Los Angeles, CA",Spring
T0111,2024-01-22,Ice Cream,Frozen,9,1.52,31,Male,"Los Angeles, CA",Winter
T0112,2024-10-28,Pork Chops,Meat,8,15.02,65,Female,"San Antonio, TX",Fall
T0113,2024-01-12,Whole Milk,Dairy,2,4.35,48,Male,"San Diego, CA",Winter
T0114,2024-07-03,Apples,Produce,4,4.11,62,Male,"San Jose, CA",Summer
T0115,2024-01-28,Pork Chops,Meat,3,6.08,69,Female,"Los Angeles, CA",Winter
T0116,2024-08-22,Yogurt,Dairy,4,14.62,68,Female,"San Antonio, TX",Summer
T0117,2024-01-15,Coffee,Beverages,2,0.9,19,Female,"Philadelphia, PA",Winter
T0118,2024-03-22,Frozen Pizza,Frozen,1,16.83,62,Male,"Houston, TX",Spring
T0119,2024-12-21,Yogurt,Dairy,7,17.38,26,Female,"Chicago, IL",Winter
T0120,2024-05-05,Yogurt,Dairy,7,2.08,25,Female,"San Diego, CA",Spring
T0121,2024-05-04,Bananas,Produce,7,12.97,27,Male,"Philadelphia, PA",Spring
T0122,2024-11-17,Whole Wheat Bread,Bakery,2,7.15,43,Female,"New York, NY",Fall
T0123,2024-11-10,Croissant,Bakery,2,7.09,26,Male,"Philadelphia, PA",Fall
T0124,2024-12-04,Coffee,Beverages,2,0.91,56,Male,"Phoenix, AZ",Winter
T0125,2024-05-12,Whole Milk,Dairy,9,1.37,33,Male,"New York, NY",Spring
T0126,2024-01-02,Orange Juice,Beverages,1,13.14,26,Female,"Los Angeles, CA",Winter
T0127,2024-07-28,Ground Beef,Meat,6,4.76,22,Female,"Houston, TX",Summer
T0128,2024-03-28,Cheddar Cheese,Dairy,7,8.98,30,Female,"Phoenix, AZ",Spring
T0129,2024-06-25,Cheddar Cheese,Dairy,9,18.59,70,Male,"San Antonio, TX",Summer
T0130,2024-05-26,Pumpkin Pie,Bakery,2,2.46,57,Male,"Philadelphia, PA",Spring
T0131,2024-01-18,Cheddar Cheese,Dairy,4,14.69,53,Female,"Dallas, TX",Winter
T0132,2024-06-20,Cheddar Cheese,Dairy,7,14.67,45,Female,"Philadelphia, PA",Summer
T0133,2024-08-17,Ice Cream,Frozen,2,4.11,27,Female,"Philadelphia, PA",Summer
T0134,2024-03-27,Pumpkin Pie,Bakery,5,2.14,67,Female,"San Antonio, TX",Spring
T0135,2024-09-17,Ground Beef,Meat,8,12.54,34,Female,"Philadelphia, PA",Fall
T0136,2024-02-15,Pumpkin Pie,Bakery,3,16.65,31,Female,"Dallas, TX",Winter
T0137,2024-09-14,Whole Milk,Dairy,1,12.24,56,Female,"San Jose, CA",Fall
T0138,2024-08-08,Ground Beef,Meat,8,18.45,43,Male,"San Jose, CA",Summer
T0139,2024-12-15,Frozen Pizza,Frozen,3,7.21,70,Male,"Philadelphia, PA",Winter
T0140,2024-03-13,Pork Chops,Meat,8,7.94,28,Female,"Dallas, TX",Spring
T0141,2024-07-01,Coffee,Beverages,3,19.27,28,Female,"Philadelphia, PA",Summer
T0142,2024-02-13,Apples,Produce,2,17.18,18,Male,"Philadelphia, PA",Winter
T0143,2024-01-04,Whole Wheat Bread,Bakery,7,0.75,39,Male,"New York, NY",Winter
T0144,2024-10-03,Frozen Peas,Frozen,7,9.21,23,Male,"New York, NY",Fall
T0145,2024-04-26,Bananas,Produce,4,4.2,65,Female,"Philadelphia, PA",Spring
T0146,2024-11-27,Carrots,Produce,7,10.88,53,Male,"Houston, TX",Fall
T0147,2024-08-09,Frozen Peas,Frozen,8,18.76,64,Female,"Houston, TX",Summer
T0148,2024-04-27,Yogurt,Dairy,1,11.71,57,Female,"Houston, TX",Spring
T0149,2024-06-04,Whole Wheat Bread,Bakery,7,16.66,70,Male,"Phoenix, AZ",Summer
T0150,2024-09-16,Carrots,Produce,3,9.82,63,Female,"Dallas, TX",Fall
T0151,2024-01-14,Frozen Peas,Frozen,1,13.64,40,Male,"Philadelphia, PA",Winter
T0152,2024-11-13,Whole Wheat Bread,Bakery,9,1.36,33,Female,"Chicago, IL",Fall
T0153,2024-08-07,Orange Juice,Beverages,4,11.99,65,Female,"San Jose, CA",Summer
T0154,2024-11-06,Orange Juice,Beverages,6,14.84,56,Male,"Houston, TX",Fall
T0155,2024-09-13,Ice Cream,Frozen,4,19.61,59,Male,"Dallas, TX",Fall
T0156,2024-11-05,Croissant,Bakery,6,2.39,61,Female,"San Diego, CA",Fall
T0157,2024-04-15,Ground Beef,Meat,2,4.67,61,Male,"Phoenix, AZ",Spring
T0158,2024-08-20,Bananas,Produce,7,5.25,53,Male,"Philadelphia, PA",Summer
T0159,2024-07-13,Cheddar Cheese,Dairy,4,2.1,57,Male,"New York, NY",Summer
T0160,2024-07-04,Croissant,Bakery,1,9.47,18,Male,"Houston, TX",Summer
T0161,2024-02-26,Pumpkin Pie,Bakery,2,2.29,45,Male,"San Antonio, TX",Winter
T0162,2024-10-25,Whole Milk,Dairy,5,8.98,24,Male,"Houston, TX",Fall
T0163,2024-05-19,Frozen Pizza,Frozen,8,9.16,26,Male,"San Diego, CA",Spring
T0164,2024-11-01,Pork Chops,Meat,5,5.62,36,Male,"New York, NY",Fall
T0165,2024-03-05,Soda,Beverages,4,2.75,38,Female,"San Diego, CA",Spring
T0166,2024-11-17,Apples,Produce,8,1.59,45,Female,"Philadelphia, PA",Fall
T0167,2024-09-21,Pork Chops,Meat,2,18.38,23,Male,"Houston, TX",Fall
T0168,2024-10-20,Yogurt,Dairy,5,0.63,41,Female,"San Diego, CA",Fall
T0169,2024-02-21,Yogurt,Dairy,9,4.51,26,Female,"Phoenix, AZ",Winter
T0170,2024-10-14,Frozen Peas,Frozen,4,4.86,50,Female,"Houston, TX",Fall
T0171,2024-11-15,Frozen Peas,Frozen,7,14.93,18,Female,"San Jose, CA",Fall
T0172,2024-12-27,Coffee,Beverages,9,4.03,58,Female,"San Antonio, TX",Winter
T0173,2024-09-27,Whole Milk,Dairy,5,4.32,58,Female,"Chicago, IL",Fall
T0174,2024-10-16,Soda,Beverages,8,16.44,49,Male,"San Jose, CA",Fall
T0175,2024-11-27,Chicken Breast,Meat,6,15.93,66,Female,"San Antonio, TX",Fall
T0176,2024-10-09,Croissant,Bakery,9,10.1,27,Male,"San Diego, CA",Fall
T0177,2024-01-01,Carrots,Produce,3,10.71,36,Male,"Phoenix, AZ",Winter
T0178,2024-01-08,Ground Beef,Meat,5,13.69,43,Male,"Los Angeles, CA",Winter
T0179,2024-08-09,Carrots,Produce,4,19.89,55,Male,"Los Angeles, CA",Summer
T0180,2024-08-06,Soda,Beverages,1,1.76,45,Female,"Phoenix, AZ",Summer
T0181,2024-10-19,Croissant,Bakery,3,18.83,37,Female,"New York, NY",Fall
T0182,2024-10-17,Coffee,Beverages,2,9.63,57,Male,"Los Angeles, CA",Fall
T0183,2024-01-02,Soda,Beverages,10,10.26,23,Female,"Philadelphia, PA",Winter
T0184,2024-03-16,Frozen Pizza,Frozen,3,17.26,36,Female,"Dallas, TX",Spring
T0185,2024-05-07,Bananas,Produce,9,12.06,28,Male,"San Diego, CA",Spring
T0186,2024-01-28,Pork Chops,Meat,5,11.29,47,Male,"Dallas, TX",Winter
T0187,2024-04-15,Ground Beef,Meat,5,2.0,47,Female,"San Diego, CA",Spring
T0188,2024-06-15,Bananas,Produce,1,9.98,37,Female,"San Jose, CA",Summer
T0189,2024-08-08,Carrots,Produce,6,4.63,38,Female,"Phoenix, AZ",Summer
T0190,2024-07-01,Pork Chops,Meat,8,19.63,20,Female,"Philadelphia, PA",Summer
T0191,2024-01-09,Apples,Produce,10,5.37,25,Female,"Houston, TX",Winter
T0192,2024-02-07,Pork Chops,Meat,1,18.44,45,Female,"Dallas, TX",Winter
T0193,2024-07-25,Croissant,Bakery,5,12.29,35,Female,"Houston, TX",Summer
T0194,2024-03-27,Pumpkin Pie,Bakery,10,11.83,37,Female,"San Antonio, TX",Spring
T0195,2024-07-02,Soda,Beverages,2,15.42,42,Male,"Dallas, TX",Summer
T0196,2024-08-26,Yogurt,Dairy,7,19.85,34,Male,"San Diego, CA",Summer
T0197,2024-02-19,Yogurt,Dairy,3,17.0,50,Male,"Phoenix, AZ",Winter
T0198,2024-05-15,Yogurt,Dairy,6,19.19,25,Female,"Phoenix, AZ",Spring
T0199,2024-07-25,Chicken Breast,Meat,3,16.11,22,Female,"Dallas, TX",Summer
T0200,2024-06-05,Pork Chops,Meat,9,4.8,51,Female,"Houston, TX",Summer
T0201,2024-07-28,Yogurt,Dairy,1,8.2,46,Female,"New York, NY",Summer
T0202,2024-04-13,Orange Juice,Beverages,5,2.26,29,Male,"San Antonio, TX",Spring
T0203,2024-03-25,Pumpkin Pie,Bakery,9,16.13,31,Male,"San Diego, CA",Spring
T0204,2024-02-19,Whole Milk,Dairy,6,17.3,69,Male,"New York, NY",Winter
T0205,2024-03-23,Chicken Breast,Meat,5,16.23,31,Female,"San Jose, CA",Spring
T0206,2024-04-28,Yogurt,Dairy,1,10.92,50,Female,"New York, NY",Spring
T0207,2024-07-19,Chicken Breast,Meat,8,17.09,68,Female,"Los Angeles, CA",Summer
T0208,2024-08-08,Pumpkin Pie,Bakery,3,7.73,50,Male,"New York, NY",Summer
T0209,2024-06-21,Apples,Produce,9,5.24,20,Male,"Houston, TX",Summer
T0210,2024-03-01,Whole Milk,Dairy,8,2.03,53,Male,"Philadelphia, PA",Spring
T0211,2024-10-22,Whole Milk,Dairy,6,17.17,48,Female,"San Diego, CA",Fall
T0212,2024-10-17,Croissant,Bakery,1,19.97,26,Male,"New York, NY",Fall
T0213,2024-05-18,Pork Chops,Meat,9,6.69,24,Male,"New York, NY",Spring
T0214,2024-01-07,Cheddar Cheese,Dairy,9,7.49,61,Male,"Philadelphia, PA",Winter
T0215,2024-07-22,Whole Wheat Bread,Bakery,5,5.32,70,Male,"San Diego, CA",Summer
T0216,2024-12-03,Ice Cream,Frozen,10,2.81,22,Female,"Los Angeles, CA",Winter
T0217,2024-01-05,Ice Cream,Frozen,2,6.88,51,Male,"Chicago, IL",Winter
T0218,2024-08-06,Ground Beef,Meat,10,7.26,50,Female,"Chicago, IL",Summer
T0219,2024-04-09,Apples,Produce,2,0.96,49,Female,"Phoenix, AZ",Spring
T0220,2024-10-25,Whole Milk,Dairy,2,4.64,61,Male,"Los Angeles, CA",Fall
T0221,2024-05-25,Yogurt,Dairy,8,15.1,66,Female,"Philadelphia, PA",Spring
T0222,2024-11-09,Frozen Peas,Frozen,5,9.21,37,Male,"New York, NY",Fall
T0223,2024-06-23,Frozen Pizza,Frozen,10,16.42,44,Female,"Dallas, TX",Summer
T0224,2024-10-25,Soda,Beverages,4,12.43,70,Male,"Philadelphia, PA",Fall
T0225,2024-12-23,Soda,Beverages,2,12.07,45,Female,"Dallas, TX",Winter
T0226,2024-07-11,Whole Wheat Bread,Bakery,5,17.21,38,Male,"San Jose, CA",Summer
T0227,2024-01-01,Whole Milk,Dairy,6,16.3,43,Female,"Philadelphia, PA",Winter
T0228,2024-02-01,Cheddar Cheese,Dairy,9,7.19,29,Male,"San Diego, CA",Winter
T0229,2024-02-28,Cheddar Cheese,Dairy,2,4.17,37,Female,"Chicago, IL",Winter
T0230,2024-06-08,Whole Wheat Bread,Bakery,9,10.42,32,Male,"Philadelphia, PA",Summer
T0231,2024-10-16,Cheddar Cheese,Dairy,3,3.59,35,Male,"Los Angeles, CA",Fall
T0232,2024-12-16,Cheddar Cheese,Dairy,4,4.85,41,Male,"San Jose, CA",Winter
T0233,2024-12-13,Orange Juice,Beverages,8,18.42,54,Male,"New York, NY",Winter
T0234,2024-04-14,Pumpkin Pie,Bakery,5,8.89,62,Female,"Los Angeles, CA",Spring
T0235,2024-10-26,Orange Juice,Beverages,5,8.82,58,Male,"Chicago, IL",Fall
T0236,2024-07-19,Apples,Produce,6,6.4,64,Male,"San Diego, CA",Summer
T0237,2024-11-02,Yogurt,Dairy,10,0.86,60,Female,"Dallas, TX",Fall
T0238,2024-07-11,Frozen Pizza,Frozen,7,3.8,44,Male,"Philadelphia, PA",Summer
T0239,2024-12-12,Ice Cream,Frozen,7,10.01,65,Female,"Chicago, IL",Winter
T0240,2024-10-03,Cheddar Cheese,Dairy,3,11.21,22,Male,"San Antonio, TX",Fall
T0241,2024-09-16,Bananas,Produce,7,10.41,19,Male,"Philadelphia, PA",Fall
T0242,2024-02-24,Frozen Pizza,Frozen,8,3.38,45,Female,"Los Angeles, CA",Winter
T0243,2024-09-22,Orange Juice,Beverages,7,13.61,68,Male,"Los Angeles, CA",Fall
T0244,2024-09-03,Croissant,Bakery,2,6.56,61,Male,"Philadelphia, PA",Fall
T0245,2024-05-18,Whole Milk,Dairy,8,15.12,51,Male,"Chicago, IL",Spring
T0246,2024-01-20,Coffee,Beverages,4,10.14,54,Male,"Phoenix, AZ",Winter
T0247,2024-10-03,Soda,Beverages,10,13.62,67,Female,"Chicago, IL",Fall
T0248,2024-05-21,Carrots,Produce,5,12.01,36,Female,"San Antonio, TX",Spring
T0249,2024-03-19,Yogurt,Dairy,1,8.37,49,Male,"San Antonio, TX",Spring
T0250,2024-06-10,Carrots,Produce,6,8.97,27,Female,"Houston, TX",Summer
T0251,2024-11-03,Ice Cream,Frozen,8,16.45,63,Male,"New York, NY",Fall
T0252,2024-12-04,Coffee,Beverages,10,12.33,62,Male,"Phoenix, AZ",Winter
T0253,2024-12-03,Pork Chops,Meat,1,19.05,49,Female,"Los Angeles, CA",Winter
T0254,2024-06-12,Pork Chops,Meat,9,15.5,36,Female,"Chicago, IL",Summer
T0255,2024-10-12,Orange Juice,Beverages,1,2.68,37,Female,"Dallas, TX",Fall
T0256,2024-11-02,Ground Beef,Meat,9,12.63,35,Female,"New York, NY",Fall
T0257,2024-10-12,Cheddar Cheese,Dairy,1,5.37,65,Male,"San Diego, CA",Fall
T0258,2024-08-18,Apples,Produce,2,13.0,18,Male,"New York, NY",Summer
T0259,2024-01-20,Whole Milk,Dairy,4,14.06,52,Male,"New York, NY",Winter
T0260,2024-01-15,Yogurt,Dairy,10,12.72,20,Female,"Dallas, TX",Winter
T0261,2024-02-27,Pumpkin Pie,Bakery,4,13.57,40,Female,"New York, NY",Winter
T0262,2024-06-10,Chicken Breast,Meat,4,11.87,66,Male,"San Diego, CA",Summer
T0263,2024-07-04,Frozen Peas,Frozen,1,10.28,66,Male,"San Jose, CA",Summer
T0264,2024-12-01,Pork Chops,Meat,4,6.52,67,Male,"Phoenix, AZ",Winter
T0265,2024-11-15,Ground Beef,Meat,8,13.68,43,Male,"Chicago, IL",Fall
T0266,2024-02-07,Frozen Peas,Frozen,3,5.87,41,Male,"San Antonio, TX",Winter
T0267,2024-03-20,Croissant,Bakery,5,14.22,58,Female,"Dallas, TX",Spring
T0268,2024-03-02,Pumpkin Pie,Bakery,5,18.23,56,Male,"Los Angeles, CA",Spring
T0269,2024-01-12,Yogurt,Dairy,7,3.37,51,Female,"San Antonio, TX",Winter
T0270,2024-01-12,Apples,Produce,4,14.42,19,Female,"Chicago, IL",Winter
T0271,2024-07-19,Apples,Produce,4,4.63,36,Female,"Los Angeles, CA",Summer
T0272,2024-01-01,Pumpkin Pie,Bakery,5,19.38,22,Male,"New York, NY",Winter
T0273,2024-10-28,Ground Beef,Meat,5,19.57,32,Male,"Philadelphia, PA",Fall
T0274,2024-04-19,Frozen Peas,Frozen,6,8.71,53,Female,"San Jose, CA",Spring
T0275,2024-06-20,Pork Chops,Meat,5,19.12,47,Female,"New York, NY",Summer
T0276,2024-02-25,Ice Cream,Frozen,10,9.73,28,Male,"Philadelphia, PA",Winter
T0277,2024-04-27,Apples,Produce,10,13.18,59,Female,"Philadelphia, PA",Spring
T0278,2024-01-16,Orange Juice,Beverages,4,16.75,48,Male,"Philadelphia, PA",Winter
T0279,2024-12-16,Frozen Pizza,Frozen,6,3.1,20,Female,"Phoenix, AZ",Winter
T0280,2024-12-21,Coffee,Beverages,2,4.54,46,Female,"Chicago, IL",Winter
T0281,2024-03-23,Frozen Pizza,Frozen,2,0.74,51,Female,"Los Angeles, CA",Spring
T0282,2024-05-21,Croissant,Bakery,2,1.46,32,Male,"Chicago, IL",Spring
T0283,2024-08-28,Soda,Beverages,5,7.79,62,Female,"San Antonio, TX",Summer
T0284,2024-03-19,Yogurt,Dairy,3,15.45,44,Female,"Philadelphia, PA",Spring
T0285,2024-07-08,Ground Beef,Meat,8,12.01,65,Male,"San Jose, CA",Summer
T0286,2024-07-05,Ice Cream,Frozen,6,12.66,40,Female,"San Diego, CA",Summer
T0287,2024-10-16,Frozen Pizza,Frozen,10,6.66,52,Male,"Philadelphia, PA",Fall
T0288,2024-12-17,Soda,Beverages,6,19.38,44,Male,"Chicago, IL",Winter
T0289,2024-06-19,Coffee,Beverages,8,2.96,38,Female,"Philadelphia, PA",Summer
T0290,2024-09-07,Croissant,Bakery,10,18.71,54,Male,"Phoenix, AZ",Fall
T0291,2024-09-18,Frozen Peas,Frozen,9,0.65,53,Male,"Dallas, TX",Fall
T0292,2024-02-27,Whole Wheat Bread,Bakery,3,6.07,32,Male,"San Antonio, TX",Winter
T0293,2024-07-04,Ground Beef,Meat,5,7.61,37,Male,"San Antonio, TX",Summer
T0294,2024-09-16,Orange Juice,Beverages,2,1.34,62,Male,"Dallas, TX",Fall
T0295,2024-05-25,Pork Chops,Meat,10,1.35,37,Male,"Chicago, IL",Spring
T0296,2024-09-14,Soda,Beverages,4,18.53,29,Female,"Dallas, TX",Fall
